Tabela,Modelo,HardDice_Lex_mean,SoftDice_Sem_mean
public.rl_cds_atend_odonto_tipo_encam,MISTRAL,1.0,0.9999993046124777
public.rl_cds_atend_odonto_tipo_encam,OPENAI,0.7777777777777777,0.9433289898766412
public.rl_cds_atend_odonto_tipo_fornc,DEEPSEEK,0.7777777777777777,0.9246544573042127
public.rl_cds_atend_odonto_tipo_fornc,GEMINI,1.0,0.999999205271403
public.rl_cds_atend_odonto_tipo_fornc,MISTRAL,1.0,0.9999992648760477
public.rl_cds_atend_odonto_tipo_fornc,OPENAI,1.0,0.9999991655349731
public.rl_cds_aval_eleg_ad_tipo_inelg,DEEPSEEK,0.5666666666666668,0.7725839356581371
public.rl_cds_aval_eleg_ad_tipo_inelg,GEMINI,0.5111111111111111,0.7880089720090231
public.rl_cds_aval_eleg_ad_tipo_inelg,MISTRAL,0.7777777777777777,0.9850186771816678
public.rl_cds_aval_eleg_ad_tipo_inelg,OPENAI,1.0,0.9999993642171224
public.rl_cds_aval_eleg_cds_situc_prs,DEEPSEEK,0.3333333333333333,0.6539044247733222
public.rl_cds_aval_eleg_cds_situc_prs,GEMINI,0.1111111111111111,0.7861068646113077
public.rl_cds_aval_eleg_cds_situc_prs,MISTRAL,0.5555555555555555,0.7207125425338745
public.rl_cds_aval_eleg_cds_situc_prs,OPENAI,1.0,0.999999463558197
public.rl_cds_ficha_atend_indivdl_prf,DEEPSEEK,1.0,0.9999990860621134
public.rl_cds_ficha_atend_indivdl_prf,GEMINI,0.3333333333333333,0.7098725941446092
public.rl_cds_ficha_atend_indivdl_prf,MISTRAL,0.7777777777777777,0.777777201599545
public.rl_cds_ficha_atend_indivdl_prf,OPENAI,1.0,0.9999991854031881
public.rl_cds_ficha_atend_odonto_prof,DEEPSEEK,0.7777777777777777,0.9218154549598694
public.rl_cds_ficha_atend_odonto_prof,GEMINI,0.6,0.5999995933638679
public.rl_cds_ficha_atend_odonto_prof,MISTRAL,0.7777777777777777,0.9439064727889166
public.rl_cds_ficha_atend_odonto_prof,OPENAI,1.0,0.9999992847442627
public.rl_cds_ficha_ativ_col_pratica,DEEPSEEK,0.7777777777777777,0.9850896530681186
public.rl_cds_ficha_ativ_col_pratica,GEMINI,0.5555555555555555,0.6978832019699944
public.rl_cds_ficha_ativ_col_pratica,MISTRAL,0.7777777777777777,0.7777772413359748
public.rl_cds_ficha_ativ_col_pratica,OPENAI,0.3333333333333333,0.803188509411282
public.rl_cds_ficha_ativ_col_prof,DEEPSEEK,0.7777777777777777,0.9484934608141581
public.rl_cds_ficha_ativ_col_prof,GEMINI,0.5555555555555555,0.7296398017141555
public.rl_cds_ficha_ativ_col_prof,MISTRAL,1.0,0.9999990661938986
public.rl_cds_ficha_ativ_col_prof,OPENAI,1.0,0.9999995628992716
public.rl_cds_ficha_ativ_col_pub_alvo,DEEPSEEK,1.0,0.999999205271403
public.rl_cds_ficha_ativ_col_pub_alvo,GEMINI,0.1111111111111111,0.7869964440663656
public.rl_cds_ficha_ativ_col_pub_alvo,MISTRAL,1.0,0.999999483426412
public.rl_cds_ficha_ativ_col_pub_alvo,OPENAI,1.0,0.999999205271403
public.rl_cds_ficha_ativ_col_tema,DEEPSEEK,1.0,0.9999991854031881
public.rl_cds_ficha_ativ_col_tema,GEMINI,0.5555555555555555,0.7395537694295248
public.rl_cds_ficha_ativ_col_tema,MISTRAL,1.0,0.9999991456667582
public.rl_cds_ficha_ativ_col_tema,OPENAI,1.0,0.9999994436899821
public.rl_cds_visita_dom_motivo,DEEPSEEK,0.3333333333333333,0.8169290688302783
public.rl_cds_visita_dom_motivo,GEMINI,0.7777777777777777,0.893445180522071
public.rl_cds_visita_dom_motivo,MISTRAL,0.4444444444444444,0.77602485815684
public.rl_cds_visita_dom_motivo,OPENAI,0.7777777777777777,0.9920835958586798
public.rl_ciap_cid10,DEEPSEEK,0.7777777777777777,0.956633236673143
public.rl_ciap_cid10,GEMINI,0.5555555555555555,0.8580818374951681
public.rl_ciap_cid10,MISTRAL,0.7777777777777777,0.7777770625220404
public.rl_ciap_cid10,OPENAI,1.0,0.9999991854031881
public.rl_evol_aval_tp_vig_saude_bucl,DEEPSEEK,1.0,0.9999990860621134
public.rl_evol_aval_tp_vig_saude_bucl,GEMINI,0.5555555555555555,0.8420110940933228
public.rl_evol_aval_tp_vig_saude_bucl,MISTRAL,1.0,0.9999993244806925
public.rl_evol_aval_tp_vig_saude_bucl,OPENAI,1.0,0.9999991456667582
public.rl_evolucao_avaliacao_ciap_cid,DEEPSEEK,0.5555555555555555,0.730000012450748
public.rl_evolucao_avaliacao_ciap_cid,GEMINI,0.2222222222222222,0.5478573507732815
public.rl_evolucao_avaliacao_ciap_cid,MISTRAL,0.5555555555555555,0.8604500956005521
public.rl_evolucao_avaliacao_ciap_cid,OPENAI,1.0,0.9999991456667582
public.rl_evolucao_odonto_parte_bucal,DEEPSEEK,0.6666666666666666,0.8736362854639689
public.rl_evolucao_odonto_parte_bucal,GEMINI,0.3333333333333333,0.8655772738986545
public.rl_evolucao_odonto_parte_bucal,MISTRAL,1.0,0.9999994039535522
public.rl_evolucao_odonto_parte_bucal,OPENAI,0.7777777777777777,0.9356535077095032
public.rl_evolucao_odonto_proced,DEEPSEEK,1.0,0.9999992450078329
public.rl_evolucao_odonto_proced,GEMINI,0.3333333333333333,0.8223428593741523
public.rl_evolucao_odonto_proced,MISTRAL,1.0,0.9999992648760477
public.rl_evolucao_odonto_proced,OPENAI,1.0,0.9999992648760477
public.rl_evolucao_plano_ciap,DEEPSEEK,1.0,0.9999990065892538
public.rl_evolucao_plano_ciap,GEMINI,0.3333333333333333,0.8541533019807602
public.rl_evolucao_plano_ciap,MISTRAL,0.7777777777777777,0.7777770890129938
public.rl_evolucao_plano_ciap,OPENAI,0.7777777777777777,0.9726720717218186
public.rl_evolucao_subjetivo_ciap,DEEPSEEK,0.5555555555555555,0.8809514111942716
