Pergunta;Comparacao;Variante_A;Variante_B;SoftDice;Impacto;N_Tabelas;Wilcoxon_stat;p_value;p_adj_fdr;significant;Modelo
P7;v09_fk_plus_frequent_values vs Full;v09_fk_plus_frequent_values;v01_full;0,8097520378776087;0,1092479621223913;24;52,0;0,005105738662613276;0,008509564437688794;True;DEEPSEEK
P7;v10_fk_plus_sample_and_frequent vs Full;v10_fk_plus_sample_and_frequent;v01_full;0,8572802712098865;0,06171972879011356;24;102,0;0,17013238371005024;0,17722123303130233;False;DEEPSEEK
P7;v11_fk_plus_sample_rows vs Full;v11_fk_plus_sample_rows;v01_full;0,7374682333929142;0,1815317666070858;24;27,0;0,00014960765838623047;0,000675272468233808;True;DEEPSEEK
P7;v12_nullable_plus_sample_values vs Full;v12_nullable_plus_sample_values;v01_full;0,7508429003258437;0,16815709967415637;24;39,0;0,00151522219198015;0,003483663327647298;True;DEEPSEEK
P7;v13_nullable_plus_frequent_values vs Full;v13_nullable_plus_frequent_values;v01_full;0,752393628600665;0,16660637139933498;24;26,0;0,0003944622379588638;0,0012326944936214494;True;DEEPSEEK
P7;v14_nullable_plus_numeric_stats vs Full;v14_nullable_plus_numeric_stats;v01_full;0,6936835579751847;0,22531644202481538;24;32,0;0,0007473274058881027;0,0020759094608002854;True;DEEPSEEK
P7;v15_sample_rows_vs_sample_values vs Full;v15_sample_rows_vs_sample_values;v01_full;0,8182482379061251;0,10075176209387493;24;71,0;0,023991956480347812;0,03528228894168796;True;DEEPSEEK
P7;v16_sample_rows_vs_frequent_values vs Full;v16_sample_rows_vs_frequent_values;v01_full;0,8294555955927123;0,08954440440728773;24;69,0;0,020587367924778496;0,0321677623824664;True;DEEPSEEK
P7;v17_sample_rows_plus_both_values vs Full;v17_sample_rows_plus_both_values;v01_full;0,8570899078089975;0,06191009219100252;24;101,0;0,16104247184798226;0,17504616505215462;False;DEEPSEEK
P7;v18_fk_nullable_sample_values vs Full;v18_fk_nullable_sample_values;v01_full;0,8384284187094013;0,08057158129059871;24;83,0;0,05550883080806355;0,07709559834453271;False;DEEPSEEK
P7;v19_fk_nullable_frequent_values vs Full;v19_fk_nullable_frequent_values;v01_full;0,7824597273593593;0,13654027264064073;24;43,0;0,002232252607738149;0,00398616537096098;True;DEEPSEEK
P7;v20_fk_nullable_both_values vs Full;v20_fk_nullable_both_values;v01_full;0,8724770461915731;0,04652295380842697;24;130,0;0,5674520855833767;0,5674520855833767;False;DEEPSEEK
P7;v21_fk_nullable_sample_rows vs Full;v21_fk_nullable_sample_rows;v01_full;0,749491989839233;0,169508010160767;24;40,0;0,0016721583972707029;0,003483663327647298;True;DEEPSEEK
P7;v22_fk_nullable_sample_rows_plus_frequent vs Full;v22_fk_nullable_sample_rows_plus_frequent;v01_full;0,798653066841498;0,12034693315850209;24;41,0;0,001841922936379872;0,0035421594930382153;True;DEEPSEEK
P7;v23_fk_nullable_sample_rows_plus_sample_values vs Full;v23_fk_nullable_sample_rows_plus_sample_values;v01_full;0,8193537862587972;0,09964621374120286;24;96,0;0,12265526734234171;0,14601817540754966;False;DEEPSEEK
P7;v24_full_no_numeric_stats vs Full;v24_full_no_numeric_stats;v01_full;0,8536439597986595;0,06535604020134056;24;89,0;0,08118767343199638;0,10148459178999547;False;DEEPSEEK
P7;v25_full_no_sample_rows vs Full;v25_full_no_sample_rows;v01_full;0,8444988983341943;0,0745011016658057;24;89,0;0,08112552952714912;0,10148459178999547;False;DEEPSEEK
P1;FK vs baseline;v02_plus_fk;v00_baseline;0,7476628764402976;0,1483371235597024;24;57,0;0,007867932494267338;0,011801898741401008;True;MISTRAL
P1;nullable vs baseline;v03_plus_nullable;v00_baseline;0,8650977408799019;0,03090225912009814;24;125,0;0,4742602070710513;0,4742602070710513;False;MISTRAL
P1;numeric_stats vs baseline;v04_plus_numeric_stats;v00_baseline;0,8230567022280489;0,07294329777195108;24;92,0;0,097319689513661;0,1167836274163932;False;MISTRAL
P1;sample_values vs baseline;v05_plus_sample_values;v00_baseline;0,7152926614059593;0,18070733859404076;24;16,0;2,014636993408203e-05;0,00012087821960449219;True;MISTRAL
P1;frequent_values vs baseline;v06_plus_frequent_values;v00_baseline;0,7152872166390466;0,18071278336095342;24;37,0;0,0006498098373413086;0,0019494295120239258;True;MISTRAL
P1;sample_rows vs baseline;v07_plus_sample_rows;v00_baseline;0,7707549249652956;0,1252450750347044;24;35,0;0,001016636116039857;0,002033272232079714;True;MISTRAL
P2;numeric_stats sozinho;v04_plus_numeric_stats;v00_baseline;0,8230567022280489;0,07294329777195108;24;92,0;0,097319689513661;0,129737894486393;False;MISTRAL
P2;numeric_stats + nullable vs nullable;v14_nullable_plus_numeric_stats;v03_plus_nullable;0,7861140605299392;0,10988593947006087;24;49,0;0,002814650535583496;0,008443951606750488;True;MISTRAL
P2;full vs full-sem-numeric_stats;v01_full;v24_full_no_numeric_stats;0,8388118838587753;0,057188116141224765;24;97,0;0,129737894486393;0,129737894486393;False;MISTRAL
P3;rows vs sample_values;v07_plus_sample_rows;v05_plus_sample_values;0,7383241211349579;0,15767587886504209;24;29,0;0,0005455780864730924;0,0019095233026558234;True;MISTRAL
P3;rows vs frequent_values;v07_plus_sample_rows;v06_plus_frequent_values;0,6986273392258653;0,19737266077413473;24;25,0;0,0003547923888745886;0,0019095233026558234;True;MISTRAL
P3;rows+sample_val vs rows;v15_sample_rows_vs_sample_values;v07_plus_sample_rows;0,7288784299879696;0,16712157001203043;24;36,0;0,0011240805269731257;0,002567592521659052;True;MISTRAL
P3;rows+sample_val vs sample_val;v15_sample_rows_vs_sample_values;v05_plus_sample_values;0,7753012681591255;0,12069873184087454;24;41,0;0,0018339946583278942;0,002567592521659052;True;MISTRAL
P3;rows+freq_val vs rows;v16_sample_rows_vs_frequent_values;v07_plus_sample_rows;0,7634823887796393;0,13251761122036076;24;58,0;0,007189035415649414;0,008387207984924316;True;MISTRAL
