Pergunta;Comparacao;Variante_A;Variante_B;SoftDice;Impacto;N_Tabelas;Wilcoxon_stat;p_value;p_adj_fdr;significant;Modelo
P1;sample_values vs baseline;v05_plus_sample_values;v00_baseline;0,762755586868744;0,16024441313125604;25;79,0;0,024521081364273903;0,024611978322411382;True;DEEPSEEK
P1;frequent_values vs baseline;v06_plus_frequent_values;v00_baseline;0,7296560742939132;0,19334392570608683;25;35,0;0,0006004574843523333;0,001801372453057;True;DEEPSEEK
P1;sample_rows vs baseline;v07_plus_sample_rows;v00_baseline;0,747538150050153;0,17546184994984704;25;32,0;0,0004421137782712397;0,001801372453057;True;DEEPSEEK
P2;numeric_stats sozinho;v04_plus_numeric_stats;v00_baseline;0,7182864267002878;0,2047135732997123;25;42,0;0,0011808855854947438;0,0017713283782421158;True;DEEPSEEK
P2;numeric_stats + nullable vs nullable;v14_nullable_plus_numeric_stats;v03_plus_nullable;0,7102469779781175;0,2127530220218825;25;24,0;0,00019342639004242405;0,0005802791701272721;True;DEEPSEEK
P2;full vs full-sem-numeric_stats;v01_full;v24_full_no_numeric_stats;0,7852680741897351;0,13773192581026494;25;81,0;0,02815645648368407;0,02815645648368407;True;DEEPSEEK
P3;rows vs sample_values;v07_plus_sample_rows;v05_plus_sample_values;0,7245592461463314;0,19844075385366866;25;33,0;0,0004899699004997006;0,0017148946517489521;True;DEEPSEEK
P3;rows vs frequent_values;v07_plus_sample_rows;v06_plus_frequent_values;0,7172933238371272;0,20570667616287286;25;32,0;0,00044530089991261153;0,0017148946517489521;True;DEEPSEEK
P3;rows+sample_val vs rows;v15_sample_rows_vs_sample_values;v07_plus_sample_rows;0,7909160965435187;0,13208390345648136;25;59,0;0,005313464838520112;0,007438850773928157;True;DEEPSEEK
P3;rows+sample_val vs sample_val;v15_sample_rows_vs_sample_values;v05_plus_sample_values;0,7945267914533458;0,12847320854665423;25;79,0;0,024107068512702567;0,024107068512702567;True;DEEPSEEK
P3;rows+freq_val vs rows;v16_sample_rows_vs_frequent_values;v07_plus_sample_rows;0,7665558656519306;0,15644413434806947;25;66,0;0,009340284673738816;0,010896998786028619;True;DEEPSEEK
P3;rows+ambos vs rows;v17_sample_rows_plus_both_values;v07_plus_sample_rows;0,775155636704595;0,14784436329540507;25;57,0;0,004464697459874865;0,007438850773928157;True;DEEPSEEK
P3;full vs full-sem-rows;v01_full;v25_full_no_sample_rows;0,7518721981566783;0,17112780184332177;25;44,0;0,0014132201380415875;0,0032975136554303707;True;DEEPSEEK
P4;FK+sample_val vs sample_val;v08_fk_plus_sample_values;v05_plus_sample_values;0,8212376376765823;0,10176236232341773;25;70,0;0,01267257920426776;0,021120965340446267;True;DEEPSEEK
P4;FK+freq_val vs freq_val;v09_fk_plus_frequent_values;v06_plus_frequent_values;0,8056672713802903;0,11733272861970978;25;81,0;0,028056587918837344;0,028056587918837344;True;DEEPSEEK
P4;FK+ambos vs FK+sample_val;v10_fk_plus_sample_and_frequent;v08_fk_plus_sample_values;0,7900237636422802;0,13297623635771982;25;43,0;0,001299438847010664;0,00649719423505332;True;DEEPSEEK
P4;FK+rows vs rows;v11_fk_plus_sample_rows;v07_plus_sample_rows;0,7844231377554679;0,13857686224453214;25;65,0;0,008644527311783102;0,021120965340446267;True;DEEPSEEK
P4;FK isolado vs baseline;v02_plus_fk;v00_baseline;0,821511168631137;0,101488831368863;25;79,0;0,024611978322411382;0,028056587918837344;True;DEEPSEEK
P5;nullable+sample_val vs sample_val;v12_nullable_plus_sample_values;v05_plus_sample_values;0,8074634838909016;0,11553651610909843;25;72,0;0,01472585430518673;0,01963447240691564;True;DEEPSEEK
P5;nullable+freq_val vs freq_val;v13_nullable_plus_frequent_values;v06_plus_frequent_values;0,8577527055372678;0,06524729446273225;25;139,0;0,5249237253779426;0,5249237253779426;False;DEEPSEEK
P5;nullable+numeric_stats vs numeric_stats;v14_nullable_plus_numeric_stats;v04_plus_numeric_stats;0,7924143246708532;0,1305856753291469;25;59,0;0,00531139302086298;0,01062278604172596;True;DEEPSEEK
P5;nullable isolado vs baseline;v03_plus_nullable;v00_baseline;0,8026227146231232;0,12037728537687686;25;56,0;0,004140253975929787;0,01062278604172596;True;DEEPSEEK
P7;v00_baseline vs Full;v00_baseline;v01_full;0,7464370985521039;0,1765629014478961;25;35,0;0,0006001136751576952;0,001363894716267489;True;DEEPSEEK
